1|4) Qu' ose -je donc proposer? 
1	Qu'	que	PRO	PROWH	s=int	2	suj	_	_
2	ose	oser	V	V	m=ind|n=s|p=3|t=pst	0	root	_	_
3	-je	cln	CL	CLS	s=suj	2	suj	_	_
4	donc	donc	ADV	ADV	_|marker=131	2	mod	_	_
5	proposer	proposer	V	VINF	m=inf	2	obj	_	_
6	?	?	PONCT	PONCT	s=s	2	ponct	_	_

2|10) Les filles ont eu fort à faire et malgré leur courage et leur détermination Rennes était plus forte, au terme d' un match éprouvant( 26-15 à la mi temps), elles se sont inclinées 45-39 lors_du premier match, il fallu alors se remobiliser pour jouer dans la foulée contre Angers un deuxième match très intense( 38-36 à la mi-temps) mais dont l' issue indiquait la non qualification des filles. 
1	Les	le	D	DET	n=p|s=def	2	det	_	_
2	filles	fille	N	NC	g=f|n=p|s=c	4	suj	_	_
3	ont	avoir	V	V	m=ind|n=p|p=3|t=pst	4	aux_tps	_	_
4	eu	avoir	V	VPP	g=m|m=part|n=s|t=past	37	mod	_	_
5	fort	fort	ADV	ADV	_	4	mod	_	_
6	à	à	P	P	_	4	mod	_	_
7	faire	faire	V	VINF	m=inf	6	obj	_	_
8	et	et	C	CC	s=c	6	coord	_	_
9	malgré	malgré	P	P	_	8	dep_coord	_	_
10	leur	son	D	DET	n=s|s=poss	11	det	_	_
11	courage	courage	N	NC	g=m|n=s|s=c	9	obj	_	_
12	et	et	C	CC	s=c	11	coord	_	_
13	leur	son	D	DET	n=s|s=poss	14	det	_	_
14	détermination	détermination	N	NC	g=f|n=s|s=c	12	dep_coord	_	_
15	Rennes	Rennes	N	NPP	g=m|n=s|s=p	14	mod	_	_
16	était	être	V	V	m=ind|n=s|p=3|t=impft	4	aux_pass	_	_
17	plus	plus	ADV	ADV	s=neg	18	mod	_	_
18	forte	fort	A	ADJ	g=f|n=s|s=qual	16	suj	_	_
19	,	,	PONCT	PONCT	s=w	16	ponct	_	_
20	au	à	P+D	P+D	s=def	16	mod	_	_
21	terme	terme	N	NC	g=m|n=s|s=c	20	obj	_	_
22	d'	de	P	P	_	21	dep	_	_
23	un	un	D	DET	g=m|n=s|s=ind	24	det	_	_
24	match	match	N	NC	g=m|n=s|s=c	22	obj	_	_
25	éprouvant	éprouvant	A	ADJ	g=m|n=s|s=qual	24	mod	_	_
26	(	(	PONCT	PONCT	s=w	24	ponct	_	_
27	26-15	26-15	A	ADJ	s=card	24	mod	_	_
28	à	à	P	P	_	16	mod	_	_
29	la	le	D	DET	g=f|n=s|s=def	30	det	_	_
30	mi	mi	N	NC	g=m|s=c	28	obj	_	_
31	temps	temps	N	NC	g=m|s=c	30	mod	_	_
32	)	)	PONCT	PONCT	s=w	30	ponct	_	_
33	,	,	PONCT	PONCT	s=w	37	ponct	_	_
34	elles	cln	CL	CLS	s=suj	37	suj	_	_
35	se	se	CL	CLR	p=3|s=refl	37	aff	_	_
36	sont	être	V	V	m=ind|n=p|p=3|t=pst	37	aux_tps	_	_
37	inclinées	incliner	V	VPP	g=f|m=part|n=p|t=past	44	mod	_	_
38	45-39	45-39	D	DET	s=card	37	obj	_	_
39	lors_du	lors_de	P	P	_	37	mod	_	_
40	premier	premier	A	ADJ	g=m|n=s|s=ord	41	mod	_	_
41	match	match	N	NC	g=m|n=s|s=c	39	obj	_	_
42	,	,	PONCT	PONCT	s=w	44	ponct	_	_
43	il	cln	CL	CLS	s=suj	44	suj	_	_
44	fallu	falloir	V	VPP	m=part|t=past	0	root	_	_
45	alors	alors	ADV	ADV	_|marker=7	44	mod	_	_
46	se	se	CL	CLR	p=3|s=refl	47	aff	_	_
47	remobiliser	remobiliser	V	VINF	m=inf	44	obj	_	_
48	pour	pour	P	P	_	47	mod	_	_
49	jouer	jouer	V	VINF	m=inf	48	obj	_	_
50	dans	dans	P	P	_	49	p_obj	_	_
51	la	le	D	DET	g=f|n=s|s=def	52	det	_	_
52	foulée	foulée	N	NC	g=f|n=s|s=c	50	obj	_	_
53	contre	contre	P	P	_	52	dep	_	_
54	Angers	Angers	N	NPP	g=m|n=s|s=p	53	obj	_	_
55	un	un	D	DET	g=m|n=s|s=ind	57	det	_	_
56	deuxième	deuxième	A	ADJ	n=s|s=ord	57	mod	_	_
57	match	match	N	NC	g=m|n=s|s=c	49	obj	_	_
58	très	très	ADV	ADV	_	59	mod	_	_
59	intense	intense	A	ADJ	n=s|s=qual	57	mod	_	_
60	(	(	PONCT	PONCT	s=w	44	ponct	_	_
61	38-36	38-36	PRO	PRO	s=card	44	mod	_	_
62	à	à	P	P	_	44	mod	_	_
63	la	le	D	DET	g=f|n=s|s=def	64	det	_	_
64	mi-temps	mi-temps	N	NC	g=f|s=c	62	obj	_	_
65	)	)	PONCT	PONCT	s=w	44	ponct	_	_
66	mais	mais	C	CC	s=c|marker=304	44	coord	_	_
67	dont	dont	PRO	PROREL	s=rel	70	de_obj	_	_
68	l'	le	D	DET	n=s|s=def	69	det	_	_
69	issue	issue	N	NC	g=f|n=s|s=c	70	suj	_	_
70	indiquait	indiquer	V	V	m=ind|n=s|p=3|t=impft	66	dep_coord	_	_
71	la	le	D	DET	g=f|n=s|s=def	72	det	_	_
72	non	non	N	NC	g=m|s=neg	70	obj	_	_
73	qualification	qualification	N	NC	g=f|n=s|s=c	72	mod	_	_
74	des	de	P+D	P+D	s=def	73	dep	_	_
75	filles	fille	N	NC	g=f|n=p|s=c	74	obj	_	_
76	.	.	PONCT	PONCT	s=s	44	ponct	_	_

3|12) Un blessé est cependant à déplorer, Rémi Dibo s' est ouvert le cuir chevelu en smashant en fin de match, il a donc été recousu dés son retour et nous lui souhaitons un prompt rétablissement. 
1	Un	un	D	DET	g=m|n=s|s=ind	2	det	_	_
2	blessé	blesser	A	ADJ	g=m|m=part|n=s|s=qual|t=past	3	suj	_	_
3	est	être	V	V	m=ind|n=s|p=3|t=pst	0	root	_	_
4	cependant	cependant	ADV	ADV	_	3	mod	_	_
5	à	à	P	P	_	3	ats	_	_
6	déplorer	déplorer	V	VINF	m=inf	5	obj	_	_
7	,	,	PONCT	PONCT	s=w	12	ponct	_	_
8	Rémi	Rémi	N	NPP	g=m|n=s|s=p	12	suj	_	_
9	Dibo	Dibo	N	NPP	s=p	8	mod	_	_
10	s'	se	CL	CLR	p=3|s=refl	12	aff	_	_
11	est	être	V	V	m=ind|n=s|p=3|t=pst	12	aux_tps	_	_
12	ouvert	ouvrir	V	VPP	g=m|m=part|n=s|t=past	3	mod	_	_
13	le	le	D	DET	g=m|n=s|s=def	14	det	_	_
14	cuir	cuir	N	NC	g=m|n=s|s=c	12	suj	_	_
15	chevelu	chevelu	A	ADJ	g=m|n=s|s=qual	14	mod	_	_
16	en	en	P	P	p=3	12	mod	_	_
17	smashant	smasher	V	VPR	m=part|t=pst	16	obj	_	_
18	en	en	P	P	p=3	17	mod	_	_
19	fin	fin	N	NC	n=s|s=c	18	obj	_	_
20	de	de	P	P	_	19	dep	_	_
21	match	match	N	NC	g=m|n=s|s=c	20	obj	_	_
22	,	,	PONCT	PONCT	s=w	27	ponct	_	_
23	il	cln	CL	CLS	s=suj	27	suj	_	_
24	a	avoir	V	V	m=ind|n=s|p=3|t=pst	27	aux_tps	_	_
25	donc	donc	ADV	ADV	_|marker=131	27	mod	_	_
26	été	être	V	VPP	m=part|t=past	27	aux_pass	_	_
27	recousu	recoudre	V	VPP	g=m|m=part|n=s|t=past	3	mod	_	_
28	dés	dés	N	NC	g=m|n=p|s=c	27	mod	_	_
29	son	son	D	DET	n=s|s=poss	30	det	_	_
30	retour	retour	N	NC	g=m|n=s|s=c	27	obj	_	_
31	et	et	C	CC	s=c	3	coord	_	_
32	nous	cln	CL	CLS	s=suj	34	suj	_	_
33	lui	cld	CL	CLO	n=s|s=obj	34	a_obj	_	_
34	souhaitons	souhaiter	V	V	m=ind|n=p|p=1|t=pst	31	dep_coord	_	_
35	un	un	D	DET	g=m|n=s|s=ind	37	det	_	_
36	prompt	prompt	A	ADJ	g=m|n=s|s=qual	37	mod	_	_
37	rétablissement	rétablissement	N	NC	g=m|n=s|s=c	34	obj	_	_
38	.	.	PONCT	PONCT	s=s	3	ponct	_	_

4|15) Les ateliers ainsi constitués sont proposés pour la danse classique, contemporaine, le modern' jazz et la GRS( gymnastique rythmique et sportive), après accord du professeur concerné. 
1	Les	le	D	DET	n=p|s=def	2	det	_	_
2	ateliers	atelier	N	NC	g=m|n=p|s=c	6	suj	_	_
3	ainsi	ainsi	ADV	ADV	_|marker=1	4	mod	_	_
4	constitués	constituer	V	VPP	g=m|m=part|n=p|t=past	2	mod	_	_
5	sont	être	V	V	m=ind|n=p|p=3|t=pst	6	aux_pass	_	_
6	proposés	proposer	V	VPP	g=m|m=part|n=p|t=past	0	root	_	_
7	pour	pour	P	P	_	6	mod	_	_
8	la	le	D	DET	g=f|n=s|s=def	9	det	_	_
9	danse	danse	N	NC	g=f|n=s|s=c	7	obj	_	_
10	classique	classique	A	ADJ	n=s|s=qual	9	mod	_	_
11	,	,	PONCT	PONCT	s=w	9	ponct	_	_
12	contemporaine	contemporain	A	ADJ	g=f|n=s|s=qual	9	mod	_	_
13	,	,	PONCT	PONCT	s=w	6	ponct	_	_
14	le	le	D	DET	g=m|n=s|s=def	15	det	_	_
15	modern	modern	N	NC	s=c	6	mod	_	_
16	'	'	PONCT	PONCT	s=w	15	ponct	_	_
17	jazz	jazz	N	NC	g=m|s=c	15	mod	_	_
18	et	et	C	CC	s=c	17	coord	_	_
19	la	le	D	DET	g=f|n=s|s=def	20	det	_	_
20	GRS	GRS	N	NPP	s=p	18	dep_coord	_	_
21	(	(	PONCT	PONCT	s=w	20	ponct	_	_
22	gymnastique	gymnastique	A	ADJ	n=s|s=qual	23	mod	_	_
23	rythmique	rythmique	N	NC	g=f|n=s|s=c	20	mod	_	_
24	et	et	C	CC	s=c	23	coord	_	_
25	sportive	sportif	A	ADJ	g=f|n=s|s=qual	24	dep_coord	_	_
26	)	)	PONCT	PONCT	s=w	20	ponct	_	_
27	,	,	PONCT	PONCT	s=w	6	ponct	_	_
28	après	après	P	P	_	6	mod	_	_
29	accord	accord	N	NC	g=m|n=s|s=c	28	obj	_	_
30	du	de	P+D	P+D	s=def	29	dep	_	_
31	professeur	professeur	N	NC	g=m|n=s|s=c	30	obj	_	_
32	concerné	concerner	V	VPP	g=m|m=part|n=s|t=past	31	mod	_	_
33	.	.	PONCT	PONCT	s=s	6	ponct	_	_

5|19) C' est aussi le représentant des élèves ingénieurs auprès_des instances nationales, comme la Commission des Titres d' Ingénieur[ CTI], le Conseil National de l' Enseignement Supérieur et de la Recherche[ CNESER], la Conférence des Directeurs des Ecoles Françaises d' Ingénieurs[ CDEFI], la Conférence des Grandes Ecoles[ CGE], et le Conseil National des Ingénieurs et Scientifiques de France[ CNISF]. 
1	C'	cln	CL	CLS	s=suj	2	suj	_	_
2	est	être	V	V	m=ind|n=s|p=3|t=pst	0	root	_	_
3	aussi	aussi	ADV	ADV	_|marker=208	2	mod	_	_
4	le	le	D	DET	g=m|n=s|s=def	5	det	_	_
5	représentant	représentant	N	NC	g=m|n=s|s=c	2	ats	_	_
6	des	de	P+D	P+D	s=def	5	dep	_	_
7	élèves	élève	N	NC	n=p|s=c	6	obj	_	_
8	ingénieurs	ingénieur	N	NC	g=m|n=p|s=c	7	mod	_	_
9	auprès_des	auprès_de	P	P	_	2	mod	_	_
10	instances	instance	N	NC	g=f|n=p|s=c	9	obj	_	_
11	nationales	national	A	ADJ	g=f|n=p|s=qual	10	mod	_	_
12	,	,	PONCT	PONCT	s=w	2	ponct	_	_
13	comme	comme	P	P	_	2	mod	_	_
14	la	le	D	DET	g=f|n=s|s=def	15	det	_	_
15	Commission	commission	N	NPP	g=f|n=s|s=p	13	obj	_	_
16	des	de	P+D	P+D	s=def	15	dep	_	_
17	Titres	titre	N	NC	g=m|n=p|s=c	16	obj	_	_
18	d'	de	P	P	_	17	dep	_	_
19	Ingénieur	ingénieur	N	NC	g=m|n=s|s=c	18	obj	_	_
20	[	[	PONCT	PONCT	s=w	19	ponct	_	_
21	CTI	CTI	N	NPP	s=p	19	mod	_	_
22	]	]	PONCT	PONCT	s=w	15	ponct	_	_
